000000.png: [0.5214500094539749, -0.853281833651959]
000960.png: [-0.3303504247281061, -0.9438583563660173]
000970.png: [-0.1414213562373095, -0.9899494936611665]
000980.png: [-0.04993761694389223, -0.9987523388778445]
000990.png: [0.1414213562373095, -0.9899494936611665]
001000.png: [-0.22485950669875843, -0.9743911956946198]
001010.png: [-0.5144957554275266, -0.8574929257125442]
001020.png: [-0.6, -0.8]
001030.png: [-0.5812381937190965, -0.813733471206735]
001040.png: [-0.658504607868518, -0.7525766947068778]
001050.png: [0.3511234415883917, -0.9363291775690445]
001060.png: [0.48564293117863205, -0.8741572761215377]
001070.png: [-0.18428853505018536, -0.9828721869343219]
001080.png: [-0.49613893835683387, -0.8682431421244593]
001090.png: [-0.413802944301184, -0.9103664774626047]
001100.png: [0.8944271909999159, -0.4472135954999579]
001110.png: [-0.49613893835683387, -0.8682431421244593]
001120.png: [-0.28216632399155017, -0.9593655015712707]
001130.png: [0.5913636636275174, -0.8064049958557055]
001140.png: [0.5407575913134987, -0.8411784753765535]
001150.png: [0.4472135954999579, -0.8944271909999159]
001160.png: [-0.4008188340197078, -0.9161573349021892]
001170.png: [0.13216372009101796, -0.9912279006826347]
001180.png: [-0.31622776601683794, -0.9486832980505138]
001190.png: [-0.5547001962252291, -0.8320502943378437]
001200.png: [0.6178215519319035, -0.7863183388224225]
001210.png: [0.4472135954999579, -0.8944271909999159]
001220.png: [-0.3011313679370973, -0.9535826651341416]
001230.png: [-0.04343722427630694, -0.9990561583550596]
001240.png: [0.0, -1.0]
001250.png: [-0.04343722427630694, -0.9990561583550596]
001260.png: [0.31622776601683794, -0.9486832980505138]
001270.png: [-0.34570535882735637, -0.9383431168171101]
001280.png: [0.0, -1.0]
001290.png: [0.31622776601683794, -0.9486832980505139]
001300.png: [0.045407660918649985, -0.9989685402102997]
001310.png: [0.0, -1.0]
001320.png: [0.0, -1.0]
001330.png: [-0.42288546533112387, -0.9061831399952655]
001340.png: [-0.4472135954999579, -0.8944271909999159]
001350.png: [0.3328201177351375, -0.9429903335828895]
001360.png: [0.38461538461538464, -0.9230769230769231]
001370.png: [0.13663739713703102, -0.9906211292434748]
001380.png: [0.5214500094539749, -0.853281833651959]
001390.png: [0.49613893835683387, -0.8682431421244593]
001400.png: [0.46031716445500037, -0.8877545314489294]
001410.png: [-0.1543768802736096, -0.9880120337511015]
001420.png: [0.03569153051241249, -0.9993628543475496]
001430.png: [0.20952908873087345, -0.9778024140774094]
001440.png: [0.46256600669501985, -0.8865848461654547]
001450.png: [0.2272296156064184, -0.9738412097417932]
001460.png: [0.23464053310389682, -0.9720822085732868]
001470.png: [0.03569153051241249, -0.9993628543475496]
001480.png: [0.12403473458920847, -0.9922778767136677]
001490.png: [0.46256600669501985, -0.8865848461654547]
001500.png: [0.3285206249412727, -0.944496796706159]
001510.png: [0.0, -1.0]
001520.png: [0.0, -1.0]
001530.png: [-0.09950371902099892, -0.9950371902099892]
001540.png: [0.0, -1.0]
001550.png: [-0.4472135954999579, -0.8944271909999159]
001560.png: [0.27472112789737807, -0.9615239476408232]
001570.png: [0.0, -1.0]
001580.png: [0.43145549730400484, -0.9021342216356465]
001590.png: [-0.2631174057921088, -0.9647638212377322]
001600.png: [0.16990691650764622, -0.985460115744348]
001610.png: [-0.3643993485805122, -0.9312427797057534]
001620.png: [0.0, -1.0]
001630.png: [0.13511320473331348, -0.9908301680442989]
001640.png: [-0.4657464328326223, -0.8849182223819824]
001650.png: [0.0, -1.0]
001660.png: [0.5010362705417046, -0.8654262854811262]
001670.png: [0.25242189714700275, -0.9676172723968438]
001680.png: [-0.2873478855663454, -0.9578262852211513]
001690.png: [0.08304547985373997, -0.9965457582448796]
001700.png: [-0.3559953275919878, -0.9344877349289681]
001710.png: [0.22485950669875843, -0.9743911956946198]
001720.png: [0.0, -1.0]
001730.png: [0.25096215878372613, -0.9679968981658008]
001740.png: [0.14654866108946232, -0.9892034623538708]
001750.png: [0.42808634473904467, -0.9037378388935388]
001760.png: [-0.4103646773287979, -0.9119215051751064]
001770.png: [0.48564293117863205, -0.8741572761215377]
001780.png: [-0.4103646773287979, -0.9119215051751064]
001790.png: [-0.03569153051241249, -0.9993628543475496]
001800.png: [0.39391929857916763, -0.9191450300180578]
001810.png: [-0.3786328457205041, -0.9255469562056767]
001820.png: [-0.6804510993672779, -0.7327934916262993]
001830.png: [-0.10468478451804275, -0.9945054529214061]
001840.png: [-0.7071067811865475, -0.7071067811865475]
001850.png: [-0.3643993485805122, -0.9312427797057534]
001860.png: [-0.6178215519319035, -0.7863183388224225]
001870.png: [-0.18884739365012448, -0.9820064469806473]
001880.png: [-0.10468478451804275, -0.9945054529214061]
001890.png: [-0.22485950669875843, -0.9743911956946198]
001900.png: [0.2060104810498419, -0.9785497849867489]
001910.png: [-0.10653312363426524, -0.994309153919809]
001920.png: [-0.6782801027330658, -0.7348034446274879]
001930.png: [-0.6332377902572627, -0.773957299203321]
001940.png: [0.052558833122763673, -0.9986178293325098]
001950.png: [0.0, -1.0]
001960.png: [0.22485950669875843, -0.9743911956946198]
001970.png: [-0.7474093186836597, -0.6643638388299198]
001980.png: [-0.4472135954999579, -0.8944271909999159]
001990.png: [0.0, -1.0]
002000.png: [0.49026123963255896, -0.8715755371245493]
002010.png: [-0.7474093186836597, -0.6643638388299198]
002020.png: [0.25242189714700275, -0.9676172723968438]
002030.png: [0.5070201265633938, -0.8619342151577695]
002040.png: [-0.6332377902572627, -0.773957299203321]
002050.png: [0.0, -1.0]
002060.png: [0.3511234415883917, -0.9363291775690445]
002070.png: [-0.11043152607484653, -0.9938837346736188]
002080.png: [-0.7926239891046, -0.6097107608496923]
002090.png: [0.52999894000318, -0.847998304005088]
002100.png: [0, 0]
002110.png: [-0.6190449610658896, -0.7853555476209048]
002120.png: [0.5144957554275265, -0.8574929257125441]
002130.png: [0.5812381937190965, -0.813733471206735]
002140.png: [0.13511320473331348, -0.9908301680442989]
002150.png: [0.09632419486019034, -0.9953500135553002]
002160.png: [0.5692099788303083, -0.8221921916437787]
002170.png: [0.09334070869305827, -0.9956342260592882]
002180.png: [-0.52999894000318, -0.847998304005088]
002190.png: [0.2963992148724529, -0.9550641368112371]
002200.png: [0.39391929857916763, -0.9191450300180578]
002210.png: [-0.2333729524753242, -0.9723873019805175]
002220.png: [-0.047565149415449405, -0.9988681377244375]
002230.png: [-0.42808634473904467, -0.9037378388935388]
002240.png: [-0.047565149415449405, -0.9988681377244375]
002250.png: [0.4190581774617469, -0.9079593845004517]
002260.png: [-0.5038710255240862, -0.8637789008984335]
002270.png: [-0.31622776601683794, -0.9486832980505139]
002280.png: [0.052558833122763673, -0.9986178293325098]
002290.png: [0.46788772041903276, -0.8837879163470619]
002300.png: [-0.3589790793088691, -0.9333456062030595]
002310.png: [0.31622776601683794, -0.9486832980505139]
002320.png: [0.49026123963255896, -0.8715755371245493]
002330.png: [-0.5368754921931592, -0.8436614877321075]
002340.png: [-0.05547001962252291, -0.9984603532054125]
002350.png: [0.0, -1.0]
002360.png: [0.09053574604251853, -0.9958932064677039]
002370.png: [-0.5812381937190965, -0.813733471206735]
002380.png: [0.31622776601683794, -0.9486832980505138]
002390.png: [0.2216211035889681, -0.9751328557914597]
002400.png: [0.48564293117863205, -0.8741572761215377]
002410.png: [0.4166547104932136, -0.9090648228942843]
002420.png: [0.4657464328326223, -0.8849182223819824]
002430.png: [0.03331483023263848, -0.9994449069791543]
002440.png: [0.0, -1.0]
002450.png: [0.4657464328326223, -0.8849182223819824]
002460.png: [0.07870248542001067, -0.9968981486534685]
002470.png: [-0.37729688731351946, -0.9260923597695477]
002480.png: [0.284088329691374, -0.9587981127083872]
002490.png: [0.24253562503633297, -0.9701425001453319]
002500.png: [-0.24253562503633297, -0.9701425001453319]
002510.png: [-0.5328132696861393, -0.8462328400897506]
002520.png: [-0.31622776601683794, -0.9486832980505138]
002530.png: [0.0, -1.0]
002540.png: [0.5010362705417046, -0.8654262854811262]
002550.png: [-0.4657464328326223, -0.8849182223819824]
002560.png: [-0.26311740579210874, -0.9647638212377321]
002570.png: [0.07669649888473704, -0.9970544855015815]
002580.png: [0.3589790793088691, -0.9333456062030595]
002590.png: [-0.32599068331940423, -0.9453729816262721]
002600.png: [-0.17378533390904768, -0.9847835588179369]
002610.png: [-0.07974522228289, -0.996815278536125]
002620.png: [0.1643989873053573, -0.9863939238321437]
002630.png: [0.2873478855663454, -0.9578262852211513]
002640.png: [0.027767067240353285, -0.9996144206527183]
002650.png: [-0.037011660509880265, -0.9993148337667671]
002660.png: [-0.4472135954999579, -0.8944271909999159]
002670.png: [-0.13216372009101796, -0.9912279006826347]
002680.png: [-0.039968038348871575, -0.9992009587217894]
002690.png: [-0.46256600669501985, -0.8865848461654547]
002700.png: [0.0, -1.0]
002710.png: [0.19086965910222414, -0.9816153896685813]
002720.png: [-0.18428853505018536, -0.9828721869343219]
002730.png: [0.20395425411200105, -0.9789804197376051]
002740.png: [0.20395425411200105, -0.9789804197376051]
002750.png: [-0.32599068331940423, -0.9453729816262721]
002760.png: [0.21133279252753887, -0.9774141654398673]
002770.png: [-0.09480909262799544, -0.9954954725939521]
002780.png: [-0.2290393337255473, -0.973417168333576]
002790.png: [-0.43145549730400484, -0.9021342216356465]
002800.png: [-0.3656523724229935, -0.9307514934403471]
002810.png: [0, 0]
002820.png: [-0.03224129401095805, -0.9994801143396995]
002830.png: [0.1643989873053573, -0.9863939238321437]
002840.png: [-0.3417430630867044, -0.939793423488437]
002850.png: [-0.5432512781572743, -0.8395701571521512]
002860.png: [-0.31622776601683794, -0.9486832980505138]
002870.png: [0.5665288228870652, -0.8240419241993676]
002880.png: [-0.31622776601683794, -0.9486832980505138]
002890.png: [-0.3559953275919878, -0.9344877349289681]
002900.png: [0.3589790793088691, -0.9333456062030595]
002910.png: [0.31622776601683794, -0.9486832980505138]
002920.png: [0.17888543819998318, -0.9838699100999074]
002930.png: [-0.242535625036333, -0.970142500145332]
002940.png: [0.09950371902099892, -0.9950371902099892]
002950.png: [-0.4103646773287979, -0.9119215051751064]
002960.png: [0.04993761694389223, -0.9987523388778445]
002970.png: [0.5665288228870652, -0.8240419241993676]
002980.png: [-0.554700196225229, -0.8320502943378436]
002990.png: [-0.31622776601683794, -0.9486832980505139]
003000.png: [0.0, -1.0]
003010.png: [0.4472135954999579, -0.8944271909999159]
003020.png: [-0.4103646773287979, -0.9119215051751064]
003030.png: [-0.31622776601683794, -0.9486832980505139]
003040.png: [-0.06237828615518053, -0.9980525784828885]
003050.png: [0.6, -0.8]
003060.png: [0.3328201177351375, -0.9429903335828895]
003070.png: [-0.5070201265633938, -0.8619342151577695]
003080.png: [0.4472135954999579, -0.8944271909999159]
003090.png: [-0.38805700005813276, -0.9216353751380653]
003100.png: [0.0, -1.0]
003110.png: [0.8320502943378436, -0.554700196225229]
003120.png: [-0.058722021951470346, -0.9982743731749958]
003130.png: [-0.3511234415883917, -0.9363291775690445]
003140.png: [-0.11043152607484653, -0.9938837346736188]
003150.png: [-0.5368754921931592, -0.8436614877321075]
003160.png: [0.14654866108946232, -0.9892034623538708]
003170.png: [-0.3786328457205041, -0.9255469562056767]
003180.png: [-0.052558833122763673, -0.9986178293325098]
003190.png: [0.21693045781865616, -0.9761870601839528]
003200.png: [0.17888543819998318, -0.9838699100999074]
003210.png: [-0.05547001962252291, -0.9984603532054125]
003220.png: [0.1559625734730109, -0.9877629653290692]
003230.png: [-0.1168412475673972, -0.9931506043228762]
003240.png: [-0.5913636636275174, -0.8064049958557055]
003250.png: [0.38805700005813276, -0.9216353751380653]
003260.png: [-0.1168412475673972, -0.9931506043228762]
003270.png: [-0.6507913734559685, -0.7592566023652966]
003280.png: [0.0, -1.0]
003290.png: [0.28, -0.96]
003300.png: [0.0, -1.0]
003310.png: [0.3363363969981562, -0.9417419115948374]
003320.png: [-0.037011660509880265, -0.9993148337667671]
003330.png: [0.22485950669875843, -0.9743911956946198]
003340.png: [0.4472135954999579, -0.8944271909999159]
003350.png: [0.24253562503633297, -0.9701425001453319]
003360.png: [-0.2202608714346434, -0.9754410020677065]
003370.png: [0.037011660509880265, -0.9993148337667671]
003380.png: [0.18208926018230742, -0.9832820049844601]
003390.png: [-0.3643993485805122, -0.9312427797057534]
003400.png: [0.04163054471218133, -0.999133073092352]
003410.png: [0.0, -1.0]
003420.png: [0.3624462611549484, -0.9320046715412958]
003430.png: [-0.3713906763541037, -0.9284766908852594]
003440.png: [0, 0]
003450.png: [-0.17378533390904768, -0.9847835588179369]
003460.png: [-0.52999894000318, -0.847998304005088]
003470.png: [0.1414213562373095, -0.9899494936611665]
003480.png: [-0.037011660509880265, -0.9993148337667671]
003490.png: [-0.5144957554275265, -0.8574929257125441]
003500.png: [-0.11043152607484653, -0.9938837346736188]
003510.png: [0.18884739365012448, -0.9820064469806473]
003520.png: [0, 0]
003530.png: [-0.413802944301184, -0.9103664774626047]
003540.png: [-0.2873478855663454, -0.9578262852211513]
003550.png: [-0.4788521306805733, -0.8778955729143844]
003560.png: [0.31622776601683794, -0.9486832980505138]
003570.png: [-0.11043152607484653, -0.9938837346736188]
003580.png: [-0.2333729524753242, -0.9723873019805175]
003590.png: [-0.5766831975986553, -0.8169678632647616]
003600.png: [-0.5368754921931592, -0.8436614877321075]
003610.png: [0.3417430630867044, -0.939793423488437]
003620.png: [-0.6643638388299198, -0.7474093186836597]
003630.png: [-0.31622776601683794, -0.9486832980505138]
003640.png: [0.2631174057921088, -0.9647638212377322]
003650.png: [0.18208926018230742, -0.9832820049844601]
003660.png: [-0.11043152607484653, -0.9938837346736188]
003670.png: [-0.3643993485805122, -0.9312427797057534]
003680.png: [-0.11043152607484653, -0.9938837346736188]
003690.png: [-0.31622776601683794, -0.9486832980505138]
003700.png: [-0.5665288228870652, -0.8240419241993676]
003710.png: [0.3011313679370973, -0.9535826651341416]
003720.png: [0.19086965910222414, -0.9816153896685813]
003730.png: [-0.05547001962252291, -0.9984603532054125]
003740.png: [0.09480909262799544, -0.9954954725939521]
003750.png: [-0.3285206249412727, -0.944496796706159]
003760.png: [0.13045451257138735, -0.9914542955425437]
003770.png: [-0.22282480150214112, -0.9748585065718673]
003780.png: [-0.03224129401095805, -0.9994801143396995]
003790.png: [0.2124296443310437, -0.9771763639228009]
003800.png: [-0.06237828615518053, -0.9980525784828885]
003810.png: [0.06438227799796505, -0.9979253089684582]
003820.png: [-0.031234752377721213, -0.9995120760870788]
003830.png: [0.22282480150214112, -0.9748585065718673]
003840.png: [-0.03224129401095805, -0.9994801143396995]
003850.png: [0.2290393337255473, -0.973417168333576]
003860.png: [0.20395425411200105, -0.9789804197376051]
003870.png: [0, 0]
003880.png: [-0.5010362705417046, -0.8654262854811262]
003890.png: [-0.6097107608496923, -0.7926239891046]
003900.png: [0, 0]
003910.png: [-0.7071067811865476, -0.7071067811865476]
003920.png: [-0.3511234415883917, -0.9363291775690445]
003930.png: [0.18208926018230742, -0.9832820049844601]
003940.png: [0.23162052730603974, -0.9728062146853669]
003950.png: [0.25766265056033233, -0.9662349396012463]
003960.png: [-0.6726727939963124, -0.7399400733959437]
003970.png: [-0.17888543819998318, -0.9838699100999074]
003980.png: [0, 0]
003990.png: [-0.413802944301184, -0.9103664774626047]
004000.png: [0.4257970363298796, -0.9048187022009941]
004010.png: [0.0, -1.0]
004020.png: [-0.1643989873053573, -0.9863939238321437]
004030.png: [-0.6782801027330658, -0.7348034446274879]
004040.png: [-0.5240974256643347, -0.851658316704544]
004050.png: [-0.5692099788303083, -0.8221921916437787]
004060.png: [0.27472112789737807, -0.9615239476408232]
004070.png: [-0.4472135954999579, -0.8944271909999159]
004080.png: [0.49613893835683387, -0.8682431421244593]
004090.png: [0.39391929857916763, -0.9191450300180578]
004100.png: [-0.3559953275919878, -0.9344877349289681]
004110.png: [0, 0]
004120.png: [-0.7633862853691145, -0.6459422414661737]
004130.png: [-0.242535625036333, -0.970142500145332]
004140.png: [-0.17378533390904768, -0.9847835588179369]
004150.png: [0.6689647316224497, -0.7432941462471664]
004160.png: [0.11462410798513052, -0.9934089358711311]
004170.png: [0.11043152607484655, -0.9938837346736189]
004180.png: [0.11043152607484655, -0.9938837346736189]
004190.png: [0.43145549730400484, -0.9021342216356465]
004200.png: [-0.23162052730603974, -0.9728062146853669]
004210.png: [0.22485950669875843, -0.9743911956946198]
004220.png: [0.413802944301184, -0.9103664774626047]
004230.png: [0.3589790793088691, -0.9333456062030595]
004240.png: [0.19611613513818402, -0.9805806756909201]
004250.png: [0.07669649888473704, -0.9970544855015815]
004260.png: [0.05547001962252291, -0.9984603532054125]
004270.png: [-0.5547001962252291, -0.8320502943378437]
004280.png: [0.086629616364842, -0.996240588195683]
004290.png: [0.39391929857916763, -0.9191450300180578]
004300.png: [0.22485950669875843, -0.9743911956946198]
004310.png: [0.0, -1.0]
004320.png: [-0.06651901052377393, -0.9977851578566089]
004330.png: [-0.5812381937190965, -0.813733471206735]
004340.png: [0.31622776601683794, -0.9486832980505139]
004350.png: [0.0, -1.0]
004360.png: [0.5070201265633938, -0.8619342151577695]
004370.png: [0.11043152607484653, -0.9938837346736188]
004380.png: [0.3624462611549484, -0.9320046715412958]
004390.png: [-0.40613846605344767, -0.9138115486202573]
004400.png: [0.0, -1.0]
004410.png: [0.1643989873053573, -0.9863939238321437]
004420.png: [-0.4472135954999579, -0.8944271909999159]
004430.png: [-0.06237828615518053, -0.9980525784828885]
004440.png: [0.48564293117863205, -0.8741572761215377]
004450.png: [0.21369687880543226, -0.9769000173962618]
004460.png: [-0.13216372009101796, -0.9912279006826347]
004470.png: [0.0, -1.0]
004480.png: [-0.4166547104932136, -0.9090648228942843]
004490.png: [0.17888543819998318, -0.9838699100999075]
004500.png: [-0.08304547985373997, -0.9965457582448796]
004510.png: [0.18428853505018536, -0.9828721869343219]
004520.png: [0.08789381029635715, -0.996129850025381]
004530.png: [0.29116161578269606, -0.9566738804288585]
004540.png: [-0.4472135954999579, -0.8944271909999159]
004550.png: [0.31622776601683794, -0.9486832980505138]
004560.png: [-0.40273861426601687, -0.9153150324227656]
004570.png: [-0.029399051601892736, -0.999567754464353]
004580.png: [0.27472112789737807, -0.9615239476408232]
004590.png: [-0.46256600669501985, -0.8865848461654547]
004600.png: [-0.1414213562373095, -0.9899494936611665]
004610.png: [0.28216632399155017, -0.9593655015712707]
004620.png: [-0.17888543819998318, -0.9838699100999074]
004630.png: [0.6, -0.8]
004640.png: [0.48564293117863205, -0.8741572761215377]
004650.png: [-0.39391929857916763, -0.9191450300180578]
004660.png: [0.0, -1.0]
004670.png: [-0.07669649888473704, -0.9970544855015815]
004680.png: [0.2544932992796438, -0.9670745372626465]
004690.png: [0.0, -1.0]
004700.png: [-0.09053574604251853, -0.9958932064677039]
004710.png: [-0.09950371902099892, -0.9950371902099892]
004720.png: [-0.7399400733959437, -0.6726727939963124]
004730.png: [0.0, -1.0]
004740.png: [-0.658504607868518, -0.7525766947068778]
004750.png: [-0.31622776601683794, -0.9486832980505138]
004760.png: [0.12403473458920847, -0.9922778767136677]
004770.png: [0.5240974256643347, -0.851658316704544]
004780.png: [-0.5881716976750462, -0.8087360843031884]
004790.png: [0.2544932992796438, -0.9670745372626465]
004800.png: [0.6643638388299198, -0.7474093186836597]
004810.png: [-0.5368754921931592, -0.8436614877321075]
004820.png: [-0.1520571842539411, -0.9883716976506172]
004830.png: [-0.1643989873053573, -0.9863939238321437]
004840.png: [0, 0]
004850.png: [-0.6757246285173463, -0.7371541402007414]
004860.png: [0.3713906763541038, -0.9284766908852594]
004870.png: [-0.039968038348871575, -0.9992009587217894]
004880.png: [0.29116161578269606, -0.9566738804288585]
004890.png: [0.0, -1.0]
004900.png: [-0.13663739713703102, -0.9906211292434748]
004910.png: [-0.1414213562373095, -0.9899494936611665]
004920.png: [-0.5070201265633938, -0.8619342151577695]
004930.png: [-0.3328201177351375, -0.9429903335828895]
004940.png: [-0.3589790793088691, -0.9333456062030595]
004950.png: [-0.5934763214186394, -0.804851449595141]
004960.png: [-0.39391929857916763, -0.9191450300180578]
004970.png: [-0.12933918406776806, -0.9916004111862218]
004980.png: [-0.17888543819998318, -0.9838699100999074]
004990.png: [-0.5547001962252291, -0.8320502943378437]
005000.png: [0.2544932992796438, -0.9670745372626465]
005010.png: [-0.1414213562373095, -0.9899494936611665]
005020.png: [-0.086629616364842, -0.996240588195683]
005030.png: [-0.12933918406776806, -0.9916004111862218]
005040.png: [-0.2026056040359523, -0.9792604195071027]
005050.png: [-0.31622776601683794, -0.9486832980505139]
005060.png: [0.06049506040189035, -0.9981684966311908]
005070.png: [-0.1643989873053573, -0.9863939238321437]
005080.png: [0.18208926018230742, -0.9832820049844601]
005090.png: [0, 0]
005100.png: [-0.06049506040189035, -0.9981684966311908]
005110.png: [-0.284088329691374, -0.9587981127083872]
005120.png: [-0.1643989873053573, -0.9863939238321437]
005130.png: [-0.09334070869305827, -0.9956342260592882]
005140.png: [-0.27472112789737807, -0.9615239476408232]
005150.png: [-0.21693045781865616, -0.9761870601839528]
005160.png: [0.18208926018230742, -0.9832820049844601]
005170.png: [0.21693045781865616, -0.9761870601839528]
005180.png: [-0.06438227799796505, -0.9979253089684582]
005190.png: [0.0, -1.0]
005200.png: [-0.09053574604251853, -0.9958932064677039]
005210.png: [-0.06237828615518053, -0.9980525784828885]
005220.png: [-0.17888543819998318, -0.9838699100999074]
005230.png: [-0.17888543819998318, -0.9838699100999074]
005240.png: [-0.49613893835683387, -0.8682431421244593]
005250.png: [-0.4819187497721559, -0.8762159086766471]
005260.png: [-0.5407575913134987, -0.8411784753765535]
005270.png: [-0.09480909262799544, -0.9954954725939521]
005280.png: [-0.1414213562373095, -0.9899494936611665]
005290.png: [-0.5010362705417046, -0.8654262854811262]
005300.png: [-0.49613893835683387, -0.8682431421244593]
005310.png: [0.3713906763541037, -0.9284766908852594]
005320.png: [-0.09053574604251853, -0.9958932064677039]
005330.png: [-0.6357072528610997, -0.7719302356170498]
005340.png: [-0.11043152607484655, -0.9938837346736189]
005350.png: [-0.1414213562373095, -0.9899494936611665]
005360.png: [-0.6074501075707971, -0.7943578329771962]
005370.png: [-0.31622776601683794, -0.9486832980505138]
005380.png: [0.28216632399155017, -0.9593655015712707]
005390.png: [0.3303504247281061, -0.9438583563660173]
005400.png: [0.1520571842539411, -0.9883716976506172]
005410.png: [-0.11043152607484655, -0.9938837346736189]
005420.png: [-0.6726727939963124, -0.7399400733959437]
005430.png: [0.25766265056033233, -0.9662349396012463]
005440.png: [0.31622776601683794, -0.9486832980505138]
005450.png: [-0.2631174057921088, -0.9647638212377322]
005460.png: [0.1414213562373095, -0.9899494936611665]
005470.png: [0.0, -1.0]
005480.png: [-0.6332377902572627, -0.773957299203321]
005490.png: [-0.7525766947068778, -0.658504607868518]
005500.png: [-0.7071067811865476, -0.7071067811865476]
005510.png: [0.047565149415449405, -0.9988681377244375]
005520.png: [-0.3511234415883917, -0.9363291775690445]
005530.png: [0.052558833122763673, -0.9986178293325098]
005540.png: [-0.2216211035889681, -0.9751328557914597]
